geography_type,geography_code,reference_year,population_count,remoteness,area_sqkm,population_density_per_sqkm,available_context_note,reliability_flag
ndia_service_area,ACT,2025,484630.0,Inner Regional Australia,2358.133,205.5142776085997,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,ALL,2025,27411454.0,National,,,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Adelaide Hills,2025,87986.0,Inner Regional Australia,1389.1363,63.33863710854004,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Barkly,2025,7448.0,Very Remote Australia,322710.4145,0.02307951545827784,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,"Barossa, Light and Lower North",2025,83434.0,Inner Regional Australia,3144.0169,26.537389159708397,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Barwon,2025,360843.0,Inner Regional Australia,6247.0178,57.76244146446966,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Bayside Peninsula,2025,985059.0,Major Cities of Australia,1067.1247,923.0964291239815,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Beenleigh,2025,576346.0,Major Cities of Australia,1495.3005,385.4382446872719,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Brimbank Melton,2025,429748.0,Major Cities of Australia,650.9364999999999,660.1995739983855,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Brisbane,2025,1375301.0,Major Cities of Australia,1342.7173,1024.266984569276,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Bundaberg,2025,107297.0,Inner Regional Australia,6431.0889,16.684110835413893,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Caboolture/Strathpine,2025,532445.0,Inner Regional Australia,2041.4737,260.8140384076464,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Cairns,2025,305342.0,Very Remote Australia,272215.5409,1.1216920201928118,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Central Australia,2025,42023.0,Very Remote Australia,550004.7633,0.07640479283827323,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Central Coast,2025,357816.0,Inner Regional Australia,1681.0059,212.85826539930645,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Central Highlands,2025,226453.0,Inner Regional Australia,14671.6426,15.434740756294051,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Central North Metro,2025,445921.0,Major Cities of Australia,191.2832,2331.2083863088865,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Central South Metro,2025,407579.0,Major Cities of Australia,383.0433,1064.0546382093096,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Darwin Remote,2025,24823.0,Very Remote Australia,409728.7251,0.060583987597993286,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Darwin Urban,2025,160196.0,Outer Regional Australia,5170.3793000000005,30.98341353795842,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,East Arnhem,2025,,Very Remote Australia,33309.9334,,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Eastern Adelaide,2025,250964.0,Major Cities of Australia,108.1355,2320.82895996227,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Eyre and Western,2025,58597.0,Very Remote Australia,151190.42210000005,0.38757084732022834,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Far North (SA),2025,24414.0,Very Remote Australia,107764.7475,0.22654903914659105,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Far West,2025,29514.0,Remote Australia,101608.9914,0.2904664202778417,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Fleurieu and Kangaroo Island,2025,60395.0,Inner Regional Australia,7363.5529,8.201883088257572,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Goldfields-Esperance,2025,58079.0,Very Remote Australia,769164.0669,0.07550924763565552,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Goulburn,2025,186677.0,Inner Regional Australia,16512.9203,11.30490528680139,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Great Southern,2025,67150.0,Outer Regional Australia,38909.5134,1.7257990175739384,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Hume Moreland,2025,278885.0,Major Cities of Australia,554.8009999999999,502.6757341821663,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Hunter New England,2025,1013517.0,Outer Regional Australia,132385.0295,7.655827881958511,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Illawarra Shoalhaven,2025,442449.0,Inner Regional Australia,5656.5933,78.21828025005792,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Inner East Melbourne,2025,708602.0,Major Cities of Australia,319.2885,2219.315759884869,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Inner Gippsland,2025,217382.0,Inner Regional Australia,9615.3818,22.607734619544697,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Ipswich,2025,388213.0,Inner Regional Australia,12979.2965,29.91017271236542,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Katherine,2025,11282.0,Remote Australia,7416.644399999999,1.521173106263528,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
ndia_service_area,Kimberley-Pilbara,2025,102732.0,Very Remote Australia,926013.4426,0.11094007416518253,"Currently limited to local population, remoteness and area context. Census, SEIFA, DSS, PHIDU, workforce and housing sources are not available locally.",derived_from_local_curated_source
